"","endTime","artistName","trackName","msPlayed"
"486","2019-09-10 11:33","Felix Jaehn","Love On Myself",169248
"487","2019-09-10 11:35","John De Sohn","Forever Young",167911
"488","2019-09-10 11:38","XO Cupid","True Colors (feat. Maya Avedis)",184019
"489","2019-09-10 11:42","Zedd","Happy Now",207029
"490","2019-09-10 11:45","Tungevaag & Raaban","All For Love",180484
"491","2019-09-10 11:49","George Ezra","Paradise",222044
"492","2019-09-10 12:13","Mabel","Mad Love",169813
"493","2019-09-10 12:16","R3HAB","All Around The World (La La La)",147840
"494","2019-09-10 12:19","Smith & Thell","Forgive Me Friend (feat. Swedish Jam Factory)",216760
"496","2019-09-10 12:24","ItaloBrothers","Summer Air",183587
"497","2019-09-10 12:27","ItaloBrothers","Stamp on the Ground - Radio Edit",196998
"498","2019-09-10 12:31","ItaloBrothers","Ocean Breeze",190796
"499","2019-09-10 12:38","ItaloBrothers","Till You Drop",126015
"500","2019-09-10 12:46","T»MA a.k.a. Falco","Mutter, der Mann mit dem Koks ist da - Mother's Favourite",212718
"501","2019-09-10 12:49","Falco","Jeanny",210744
"502","2019-09-10 12:53","Falco","Out Of The Dark",217066
"503","2019-09-10 12:54","Sun Diego","Rock Me Amadeus",40523
"505","2019-09-10 12:57","Falco","Rock Me Amadeus - The Gold Mix",176959
"507","2019-09-10 13:23","Twenty One Pilots","Chlorine",324466
"508","2019-09-10 13:23","Twenty One Pilots","Heathens",20499
"509","2019-09-10 13:27","Alan Walker","Faded",212106
"510","2019-09-10 13:29","Alan Walker","Alone",160426
"511","2019-09-10 13:30","Alan Walker","Darkside",15215
"513","2019-09-10 13:30","Dendemann","Zeitumstellung",14721
"515","2019-09-10 13:34","Gramatik","Satoshi Nakamoto (feat. Adrian Lau, ProbCause)",35361
"516","2019-09-10 13:34","Tom Walker","Fly Away With Me",211733
"517","2019-09-10 13:35","Alli Neumann","Monster",48599
"518","2019-09-10 13:36","Marteria","1982 (Als ob's gestern war)",76509
"519","2019-09-10 13:41","Casper","Michael X",263221
"520","2019-09-10 13:44","Marteria","Adrenalin",171618
"521","2019-09-10 13:46","Sido","Nein! (feat. Doreen)",141432
"522","2019-09-10 14:07","Sido","Augen auf",145635
"523","2019-09-10 14:11","Bausa","Was du Liebe nennst",195999
"524","2019-09-10 14:14","Haux","Touch",211000
"525","2019-09-10 14:15","San Holo","The Future (with James Vincent McMorrow)",18656
"526","2019-09-10 14:17","Loud Luxury","Body",163216
"527","2019-09-10 14:21","Martin Garrix","Ocean (feat. Khalid)",216419
"529","2019-09-10 14:26","Mia Morgan","Es geht dir gut",77981
"531","2019-09-10 14:27","Hozier","Someone New",18018
"532","2019-09-10 14:27","Gramatik","Hit That Jive",67175
"533","2019-09-10 14:28","Parcels","Overnight",11609
"534","2019-09-10 14:31","Rea Garvey","Kiss Me",225560
"535","2019-09-10 14:35","Sia","Thunderclouds - Lost Frequencies Remix",198493
"536","2019-09-10 14:38","Felix Jaehn","Jennie (feat. R. City, Bori)",184231
"537","2019-09-10 14:41","Nick Talos","Hey Gorgeous",164317
"538","2019-09-10 14:44","Stefanie Heinzmann","Build A House (feat. Alle Farben)",182380
"539","2019-09-10 14:46","Max David","Breaking Free - High School Mix",146842
"540","2019-09-10 14:49","Tungevaag","All For Love - Luca Schreiner Remix",178560
"541","2019-09-10 14:52","Vigiland","Take This Ride",203841
"542","2019-09-10 14:56","Sigma","Anywhere",205250
"543","2019-09-10 14:59","Kyd the Band","Easy",194413
